filename,title,year,authors,dataset_used,models_used,best_metric,domain,key_finding
Advanced_Fraud_Detection_Leveraging_K-SMOTEENN_and.pdf,This article has been accepted for publication in IEEE Access. This is the author's version which has not been fully edited and,2017,"content may change prior to final publication. Citation information: DOI 10.1109/ACCESS.2025.3528079 Date of publication xxxx 00, 0000, date of current version xxxx 00, 0000. Digital Object Identifier 10.1109/ACCESS.2024.Doi Number Advanced Fraud Detection: Leveraging K-SMOTEENN and Stacking Ensemble to Tackle Data Imbalance and Extract Insights Nurafni Damanik1, Chuan-Ming Liu2 1College of Electrical Engineering and Computer Science, National Taipei University of Technology, Taipei, Taiwan",poses a classification outcomes,"Random Forest, SVM, XGBoost, Neural, Deep Learning, Decision Tree, Logistic, LightGBM, Gradient Boosting, Ensemble",100.0%,Credit Card Fraud,"This study proposes an innovative solution for credit card fraud detection, utilizing a stacking
ensemble of machine learning classifiers enhanced with sophisticated data resampling techniques"
Ad_Click_Fraud_Detection_Using_Machine_Learning_an (1).pdf,This article has been accepted for publication in IEEE Access. This is the author's version which has not been fully edited and,2023,"content may change prior to final publication. Citation information: DOI 10.1109/ACCESS.2025.3532200 Date of publication xxxx 00, 0000, date of current version xxxx 00, 0000. Digital Object Identifier 10.1109/ACCESS.2024.Doi Number Ad Click Fraud Detection Using Machine Learning and Deep Learning Algorithms Reem A Alzahrani1, Malak Aljabri 2, Rami Mustafa A. Mohammad 3 1 SAUDI ARAMCO Cybersecurity Chair, Department of Computer Science, College of Computer Science and Information Technology, Imam Abdulrahman Bin Faisal University, P.O. Box 1982, Dammam 31441, Saudi Arabia 2Computer and Network Engineering Department, College of Computing, Umm Al-Qura University Makkah 21955, Saudi Arabia","experimented with various classifiers, ultimately creating
containing the browsing behavior of internet users as they
an ensemble model that integrated the six most effective
interact with websites","Random Forest, SVM, XGBoost, Neural, LSTM, Deep Learning, Decision Tree, CNN, RNN, LightGBM, Gradient Boosting, KNN, Naive Bayes, Ensemble",98.3%,PPC/Ad Fraud,"In online advertising, click fraud poses a significant challenge, draining budgets and
threatening the industry's integrity by redirecting funds away from legitimate advertisers"
Ad_Click_Fraud_Detection_Using_Machine_Learning_an.pdf,This article has been accepted for publication in IEEE Access. This is the author's version which has not been fully edited and,2023,"content may change prior to final publication. Citation information: DOI 10.1109/ACCESS.2025.3532200 Date of publication xxxx 00, 0000, date of current version xxxx 00, 0000. Digital Object Identifier 10.1109/ACCESS.2024.Doi Number Ad Click Fraud Detection Using Machine Learning and Deep Learning Algorithms Reem A Alzahrani1, Malak Aljabri 2, Rami Mustafa A. Mohammad 3 1 SAUDI ARAMCO Cybersecurity Chair, Department of Computer Science, College of Computer Science and Information Technology, Imam Abdulrahman Bin Faisal University, P.O. Box 1982, Dammam 31441, Saudi Arabia 2Computer and Network Engineering Department, College of Computing, Umm Al-Qura University Makkah 21955, Saudi Arabia","experimented with various classifiers, ultimately creating
containing the browsing behavior of internet users as they
an ensemble model that integrated the six most effective
interact with websites","Random Forest, SVM, XGBoost, Neural, LSTM, Deep Learning, Decision Tree, CNN, RNN, LightGBM, Gradient Boosting, KNN, Naive Bayes, Ensemble",98.3%,PPC/Ad Fraud,"In online advertising, click fraud poses a significant challenge, draining budgets and
threatening the industry's integrity by redirecting funds away from legitimate advertisers"
AI-based_Techniques_for_Ad_Click_Fraud_Detection_a.pdf,AI-Based Techniques for Ad Click Fraud Detection and,2023,"Prevention: Review and Research Directions ReemA.Alzahrani1,*andMalakAljabri2 1 SAUDIARAMCOCybersecurityChair,DepartmentofComputerScience,CollegeofComputerScienceand InformationTechnology,ImamAbdulrahmanBinFaisalUniversity,Dammam31441,SaudiArabia 2 DepartmentofComputerScience,CollegeofComputersandInformationSystems,UmmAl-QuraUniversity, Makkah21955,SaudiArabia * Correspondence:2210500199@iau.edu.sa",Mentions uci,Not specified,Not found,PPC/Ad Fraud,":Onlineadvertisingisamarketingapproachthatusesnumerousonlinechannelstotarget
potentialcustomersforbusinesses,brands,andorganizations"
Anomaly_Detection_in_IIoT_Transactions_using_Machi.pdf,"Engineering, Technology & Applied Science Research Vol. 14, No. 3, 2024, 14645-14653 14645",2024,"Anomaly Detection in IIoT Transactions using Machine Learning: A Lightweight Blockchain- based Approach Mayar Ibrahim Hasan Okfie Department of Information Technology, College of Computer and Information Sciences, Majmaah University, Saudi Arabia 441103734@s.mu.edu.sa (corresponding author) Shailendra Mishra Department of Information Technology, College of Computer and Information Sciences, Majmaah",balance between security and efficiency,Deep Learning,92.9%,Credit Card Fraud,"The integration of secure message authentication systems within the Industrial Internet of Things (IIoT) is
paramount for safeguarding sensitive transactions"
An_Ensemble_Architecture_based_on_Deep_Learning_Model_for_Click_Fraud_Detection_in_Pay-Per-Click_Advertisement_Campaign (1).pdf,This article has been accepted for publication in IEEE Access. This is the author's version which has not been fully edited and,2016,"content may change prior to final publication. Citation information: DOI 10.1109/ACCESS.2022.3211528 Dateofpublicationxxxx00,0000,dateofcurrentversionxxxx00,0000. DigitalObjectIdentifier10.1109/ACCESS.2021.DOI An Ensemble Architecture based on Deep Learning Model for Click Fraud Detection in Pay-Per-Click Advertisement Campaign AMREENBATOOL1,andYUNG-CHEOLBYUN2,* 1DepartmentofElectronicEngineering,InstituteofInformationScience Technology,JejuNationalUniversity,Jeju63243,Korea;","for click fraud detec-
pay-per-clickbudget","Random Forest, SVM, XGBoost, Neural, LSTM, Deep Learning, CNN, LightGBM, KNN, Naive Bayes, Ensemble",96.3%,PPC/Ad Fraud,"With the rapid development of online advertising, click fraud is a serious issue for the
internet market"
An_Ensemble_Architecture_based_on_Deep_Learning_Model_for_Click_Fraud_Detection_in_Pay-Per-Click_Advertisement_Campaign.pdf,This article has been accepted for publication in IEEE Access. This is the author's version which has not been fully edited and,2016,"content may change prior to final publication. Citation information: DOI 10.1109/ACCESS.2022.3211528 Dateofpublicationxxxx00,0000,dateofcurrentversionxxxx00,0000. DigitalObjectIdentifier10.1109/ACCESS.2021.DOI An Ensemble Architecture based on Deep Learning Model for Click Fraud Detection in Pay-Per-Click Advertisement Campaign AMREENBATOOL1,andYUNG-CHEOLBYUN2,* 1DepartmentofElectronicEngineering,InstituteofInformationScience Technology,JejuNationalUniversity,Jeju63243,Korea;","for click fraud detec-
pay-per-clickbudget","Random Forest, SVM, XGBoost, Neural, LSTM, Deep Learning, CNN, LightGBM, KNN, Naive Bayes, Ensemble",96.3%,PPC/Ad Fraud,"With the rapid development of online advertising, click fraud is a serious issue for the
internet market"
ASurveyonOnlineAdvertisingandClickfrauddetection.pdf,A Survey on Online Advertising and Click fraud detection,Not found,"Nayanaba Gohil Prof Arvind D Meniya Department of Information Technology Assistant Professor Shantilal Shah Engineering College Department of Information Technology Bhavnagar, Gujarat, India Shantilal Shah Engineering College gohilnickyba@gmail.com Bhavnagar, Gujarat, India","for traffic analysis
visitors to click on advertisements",Not specified,Not found,PPC/Ad Fraud,"—In today’s scenario, web advertising has a very achieved"
AttackandAnomalyDetectioninIoTNetworksusingMachineLearningTechniquesAReview.pdf,Asian Journal of Research in Computer Science,2021,"9(2): 30-46, 2021; Article no.AJRCOS.69410 ISSN: 2581-8260 Attack and Anomaly Detection in IoT Networks using Machine Learning Techniques: A Review Saad Hikmat Haji1* and Siddeeq Y. Ameen1 1Duhok Polytechnic University, Duhok, Kurdistan Region, Iraq. Authors’ contributions This work was carried out in collaboration among all authors. All authors read and approved the final manuscript.",about themselves and their surroundings using various sensors,RNN,Not found,IoT Security,The Internet of Things (IoT) is one of today's most rapidly growing technologies
Auto-DetectionofClick-FraudsusingMachineLearning.pdf,ISSN 2321 3361 © 2020 IJESC,2020,"Research Article Volume 10 Issue No.9 Auto-Detection of Click-Frauds using Machine Learning Anshuman Dash1, Satyajit Pal2 MBA in Business Analytics REVA Academy for Corporate Excellence, REVA University, Bengaluru, India",that handles millions of clicks over few days,"Random Forest, Decision Tree, KNN, Ensemble",Not found,PPC/Ad Fraud,":
In the current web advertising activities, the fraud increases the number of risks for online marketing, advertising industry and e-
business"
