feature,importance
app_frequency,0.2762845338876204
app_channel_frequency,0.16380437330415115
app,0.14910956155111382
channel_frequency,0.12345105053637694
ip,0.051921931079311236
ip_device_frequency,0.04287558423287243
ip_frequency,0.04215791940109465
channel,0.0366771964960365
os_frequency,0.026838363015716016
device_frequency,0.012926508556881688
os,0.011761531617516984
click_hour,0.00965467041240064
click_second,0.009617740743475298
click_minute,0.009189576401675127
ip_app_frequency,0.008847208590861097
click_dayofmonth,0.008650693326400156
click_day,0.008454423846921534
device,0.005251453316257277
ip_channel_frequency,0.0025256796833171896
